imageID,GEOID10,mean
20180102,93252,11.883838519898372
20180102,93268,12.272245811346734
20180102,93307,10.447988260368637
20180102,93311,10.39668608508382
20180102,93313,10.454737390899052
20180102,93461,10.875253592865375
20180102,93203,11.032892095622367
20180102,93206,9.742051799242121
20180102,93215,9.553870518266846
20180102,93220,11.09637736774864
20180102,93224,14.350923955665445
20180102,93241,10.443060894012449
20180102,93243,14.095544894905977
20180102,93249,9.891418672535533
20180102,93250,9.591475351804291
20180102,93251,11.548693124846363
20180102,93263,9.489164992911425
20180102,93276,10.644154181847206
20180102,93280,9.357541594022834
20180102,93287,9.99984684935971
20180102,93301,10.21986918449402
20180102,93304,10.243166768508749
20180102,93305,10.253628988878441
20180102,93306,10.986427805393356
20180102,93308,10.284903300440465
20180102,93309,10.254623112770227
20180102,93312,10.283301240080721
20180102,93314,9.983296409039541
20180102,93518,11.535178375244142
20180102,93531,14.703118660870718
20180102,93561,13.097661198310133
20180103,93252,13.125028539130515
20180103,93268,13.510254656297079
20180103,93307,10.82949590519621
20180103,93311,10.906675241069808
20180103,93313,10.942783250760666
20180103,93461,12.349797924862633
20180103,93203,11.37759798108097
20180103,93206,10.62198095185103
20180103,93215,10.428614158862034
20180103,93220,11.688503100609903
20180103,93224,15.582966547792061
20180103,93241,10.610480842590333
20180103,93243,15.130335452944735
20180103,93249,10.730510867706915
20180103,93250,10.365488453314125
20180103,93251,12.82243204654271
20180103,93263,10.188271070766918
20180103,93276,11.519846989558294
20180103,93280,10.083143011499171
20180103,93287,10.978087370684309
20180103,93301,10.594888299703598
20180103,93304,10.651795720885582
20180103,93305,10.679344605962068
20180103,93306,11.667020687075127
20180103,93308,10.912889790314981
20180103,93309,10.690092139519178
20180103,93312,10.741318614332826
20180103,93314,10.497898439455476
20180103,93518,11.838635620238291
20180103,93531,14.370882931877585
20180103,93561,13.019840087530746
20180104,93252,12.425869335948118
20180104,93268,13.05146058601288
20180104,93307,11.784588243101865
20180104,93311,11.619412968030302
20180104,93313,11.686475222194833
20180104,93461,13.102785448484783
20180104,93203,11.99489771966235
20180104,93206,11.35241023200718
20180104,93215,11.421456325943582
20180104,93220,12.548607893639211
20180104,93224,15.131296451736546
20180104,93241,11.787380771636963
20180104,93243,14.166098208760108
20180104,93249,11.461747332900401
20180104,93250,11.395763179010821
20180104,93251,12.831232844253
20180104,93263,11.019658666819689
20180104,93276,11.884154319763184
20180104,93280,11.099506975003516
20180104,93287,12.053187583036031
20180104,93301,12.129588061571122
20180104,93304,11.952350377194028
20180104,93305,12.106532700564884
20180104,93306,12.478724167540436
20180104,93308,12.01537147637235
20180104,93309,11.943832383706019
20180104,93312,11.956201703398376
20180104,93314,11.417634562255534
20180104,93518,12.536238945855034
20180104,93531,15.376235793618596
20180104,93561,13.801849725111476
20180105,93252,14.780976697417424
20180105,93268,14.7912686324466
20180105,93307,14.092238616435122
20180105,93311,14.339719656945018
20180105,93313,14.382006529881638
20180105,93461,14.643785512900052
20180105,93203,13.851502993417707
20180105,93206,14.910624160685686
20180105,93215,14.696230826866012
20180105,93220,15.0830215409164
20180105,93224,14.386953061181796
20180105,93241,13.810140514373776
20180105,93243,13.958340321030727
20180105,93249,14.906080862492333
20180105,93250,14.746151041090389
20180105,93251,15.18213443720274
20180105,93263,14.229545772023684
20180105,93276,14.689693010770357
20180105,93280,15.109870994059706
20180105,93287,14.85986150117916
20180105,93301,14.039013093709945
20180105,93304,14.089261981708
20180105,93305,14.124298681906605
20180105,93306,15.039441331931203
20180105,93308,14.287479616147563
20180105,93309,14.048962001617138
20180105,93312,13.856011153934718
20180105,93314,13.98397096302088
20180105,93518,14.318143296620203
20180105,93531,13.896529870874742
20180105,93561,13.823010084764014
20180106,93252,15.466622009429022
20180106,93268,15.522566166996429
20180106,93307,15.532634936950943
20180106,93311,15.472995421404395
20180106,93313,15.516069455982613
20180106,93461,15.426481512528433
20180106,93203,15.237915759388136
20180106,93206,15.496730656258862
20180106,93215,15.345763302731886
20180106,93220,16.187849289459706
20180106,93224,15.755256087824982
20180106,93241,15.528341007232665
20180106,93243,14.079423749169637
20180106,93249,15.81327071867937
20180106,93250,15.250673627688082
20180106,93251,15.907049529613674
20180106,93263,15.011577596778062
20180106,93276,15.588385508610653
20180106,93280,15.046131581028876
20180106,93287,15.648845199861338
20180106,93301,15.676700681447981
20180106,93304,15.659689754984823
20180106,93305,15.642041993797372
